<eps> e	0.045636
<eps> i	0.04286
<eps> r	0.038522
e <eps>	0.034357
<eps> s	0.033316
<eps> l	0.028284
a e	0.027763
i e	0.027763
e i	0.027243
<eps> t	0.027069
e a	0.023946
i <eps>	0.023772
<eps> n	0.022037
<eps> c	0.020302
<eps> a	0.019087
a i	0.017526
l <eps>	0.017179
r <eps>	0.016484
<eps> h	0.01527
t <eps>	0.015096
s <eps>	0.014749
n <eps>	0.013882
a <eps>	0.013708
<eps> m	0.011973
i a	0.011452
<eps> u	0.010758
c <eps>	0.010411
<eps> p	0.010238
e o	0.010064
d <eps>	0.009891
u <eps>	0.00937
<eps> o	0.00885
<eps> d	0.008503
o <eps>	0.008155
a o	0.007982
m <eps>	0.007461
h <eps>	0.007461
s c	0.007288
c s	0.006767
o a	0.006247
<eps> g	0.005726
o e	0.005553
r e	0.004512
i s	0.004512
<eps> y	0.004164
r a	0.004164
e r	0.003991
e u	0.003991
p <eps>	0.003991
u i	0.003817
e l	0.003644
y <eps>	0.003644
n m	0.003644
z s	0.003644
o r	0.00347
s i	0.00347
i c	0.003297
u o	0.003297
r o	0.003297
c i	0.003123
i t	0.003123
y i	0.00295
a r	0.00295
l e	0.00295
u a	0.002776
g <eps>	0.002603
a l	0.002603
a u	0.002603
t i	0.002603
s a	0.002603
m n	0.002429
i n	0.002429
i o	0.002429
i u	0.002429
o u	0.002429
d t	0.002256
a s	0.002256
a n	0.002256
l a	0.002256
t s	0.002256
e s	0.002256
<eps> b	0.002082
u e	0.002082
t h	0.002082
l i	0.002082
u r	0.002082
i r	0.002082
n i	0.001909
i y	0.001909
e y	0.001909
h t	0.001909
n a	0.001909
o i	0.001909
a c	0.001909
s u	0.001909
c t	0.001909
m i	0.001909
r i	0.001735
d e	0.001562
<eps> k	0.001562
s z	0.001562
n e	0.001562
<eps> f	0.001388
f <eps>	0.001388
o m	0.001388
g i	0.001388
c u	0.001388
y e	0.001388
e h	0.001388
t d	0.001215
a h	0.001215
h a	0.001215
c o	0.001215
k <eps>	0.001215
u s	0.001215
<eps> w	0.001215
e g	0.001215
r u	0.001215
t r	0.001215
t a	0.001215
e n	0.001215
t e	0.001215
e t	0.001215
f e	0.001215
b <eps>	0.001041
s t	0.001041
m o	0.001041
r n	0.001041
a t	0.001041
w <eps>	0.001041
a p	0.001041
a k	0.001041
k a	0.001041
c n	0.000868
n s	0.000868
d c	0.000868
o s	0.000868
a m	0.000868
m a	0.000868
u c	0.000868
s d	0.000868
t c	0.000868
s e	0.000868
u l	0.000868
o w	0.000868
w o	0.000868
c e	0.000868
v e	0.000694
e d	0.000694
s n	0.000694
o c	0.000694
i l	0.000694
i g	0.000694
t u	0.000694
u t	0.000694
i d	0.000694
d i	0.000694
m p	0.000694
p m	0.000694
l u	0.000694
f h	0.000694
n c	0.000694
n r	0.000694
h i	0.000694
h e	0.000694
r p	0.000694
i v	0.000521
g e	0.000521
s o	0.000521
y a	0.000521
w h	0.000521
h w	0.000521
p b	0.000521
s y	0.000521
r t	0.000521
b a	0.000521
c a	0.000521
g n	0.000521
o n	0.000521
l o	0.000521
o p	0.000521
a v	0.000521
f v	0.000521
<eps> v	0.000521
l r	0.000521
i h	0.000521
g c	0.000521
n o	0.000521
e k	0.000521
p i	0.000521
h s	0.000521
n k	0.000521
k n	0.000521
b p	0.000347
a y	0.000347
w s	0.000347
l s	0.000347
s l	0.000347
y m	0.000347
e f	0.000347
i b	0.000347
d a	0.000347
n g	0.000347
e m	0.000347
t b	0.000347
t g	0.000347
p o	0.000347
b l	0.000347
l b	0.000347
p s	0.000347
s p	0.000347
h g	0.000347
x s	0.000347
v f	0.000347
k i	0.000347
v a	0.000347
l c	0.000347
d u	0.000347
n t	0.000347
t n	0.000347
i w	0.000347
w i	0.000347
e p	0.000347
p e	0.000347
b n	0.000347
k e	0.000347
n l	0.000347
l n	0.000347
y o	0.000347
e c	0.000347
l t	0.000347
t l	0.000347
i p	0.000347
v w	0.000347
g d	0.000347
<eps> z	0.000347
t o	0.000347
o t	0.000347
h o	0.000347
o h	0.000347
n d	0.000347
u g	0.000347
r b	0.000174
b r	0.000174
c w	0.000174
c q	0.000174
s w	0.000174
y h	0.000174
a b	0.000174
d f	0.000174
t w	0.000174
w t	0.000174
z a	0.000174
b d	0.000174
c b	0.000174
c k	0.000174
d h	0.000174
m e	0.000174
r m	0.000174
t x	0.000174
x y	0.000174
v l	0.000174
l v	0.000174
g t	0.000174
q <eps>	0.000174
s g	0.000174
l z	0.000174
g f	0.000174
i f	0.000174
e v	0.000174
m s	0.000174
s m	0.000174
f d	0.000174
h n	0.000174
c l	0.000174
u d	0.000174
i j	0.000174
a d	0.000174
b v	0.000174
i z	0.000174
o v	0.000174
v o	0.000174
k d	0.000174
m w	0.000174
m v	0.000174
o l	0.000174
w n	0.000174
o g	0.000174
g o	0.000174
u b	0.000174
b u	0.000174
y s	0.000174
t v	0.000174
p a	0.000174
c d	0.000174
r s	0.000174
v <eps>	0.000174
l f	0.000174
f l	0.000174
d g	0.000174
s h	0.000174
g h	0.000174
c h	0.000174
d r	0.000174
p l	0.000174
l p	0.000174
r w	0.000174
w r	0.000174
c y	0.000174
k g	0.000174
e b	0.000174
d n	0.000174
s x	0.000174
y l	0.000174
l y	0.000174
p r	0.000174
g u	0.000174
o y	0.000174
t y	0.000174
y t	0.000174
j h	0.000174
j <eps>	0.000174
j u	0.000174
k o	0.000174
v i	0.000174
v b	0.000174
w v	0.000174
n h	0.000174
r k	0.000174
k r	0.000174
l d	0.000174
d l	0.000174
